,index,link,title,postdate,latitude,longitude,neighborhood,beds,baths,area,others,price,text,restaurant_count,school_count,bus_station_count,railway_station_count,distance_from_us
0,0,https://chicago.craigslist.org/chc/apa/d/chicago-spacious-1-bedden-balcony-in/6847307928.html,***SPACIOUS 1-BED+DEN w/ BALCONY IN QUIET PART OF RIVER NORTH!***,Apr  4,41.894732,-87.641553,,1.0,1.0,825.0,"['available apr 4', 'cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'w/d in unit', 'no smoking', 'attached garage']",2340.0,price: $2340.0<br>Beds: 1.0<br> Baths: 1.0,21,2,0,4,1.108805202683776
1,1,https://chicago.craigslist.org/chc/apa/d/chicago-modern-studio-available/6843193191.html,Modern studio available,Apr  4,41.933008,-87.640019,,0.0,1.0,,,1230.0,price: $1230.0<br>Beds: 0.0<br> Baths: 1.0,26,3,0,0,3.749735892939505
2,2,https://chicago.craigslist.org/chc/apa/d/chicago-modern-studio-available/6849999989.html,Modern studio available,Apr  4,41.933008,-87.640019,,0.0,1.0,,,1230.0,price: $1230.0<br>Beds: 0.0<br> Baths: 1.0,26,3,0,0,3.749735892939505
3,3,https://chicago.craigslist.org/chc/apa/d/chicago-modern-studio-available/6845360856.html,Modern studio available,Apr  4,41.933008,-87.640019,,0.0,1.0,,,1230.0,price: $1230.0<br>Beds: 0.0<br> Baths: 1.0,26,3,0,0,3.749735892939505
4,4,https://chicago.craigslist.org/chc/apa/d/chicago-lincoln-park-studio-available/6843643327.html,Lincoln Park Studio Available,Apr  4,41.930651,-87.640868,,0.0,1.0,,,1220.0,price: $1220.0<br>Beds: 0.0<br> Baths: 1.0,30,5,0,1,3.587087247948611
5,5,https://chicago.craigslist.org/chc/apa/d/chicago-large-living-room-city-views/6858269022.html,LARGE LIVING ROOM !! CITY VIEWS!!,Apr  4,41.987631,-87.655556,,1.0,1.0,,,1265.0,price: $1265.0<br>Beds: 1.0<br> Baths: 1.0,5,1,0,3,7.561876954182116
6,6,https://chicago.craigslist.org/chc/apa/d/chicago-hot-division-damen-location/6858269428.html,Hot Division / Damen location,Apr  4,41.903232,-87.677254,,3.0,1.0,,,2550.0,price: $2550.0<br>Beds: 3.0<br> Baths: 1.0,41,5,0,2,2.544926775715172
7,7,https://chicago.craigslist.org/chc/apa/d/chicago-gorgeous-1-bedroom-unit/6854731193.html,Gorgeous 1 bedroom unit,Apr  4,41.915151,-87.672744,,1.0,1.0,740.0,"['available may 1', 'cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'laundry on site', 'street parking']",1450.0,price: $1450.0<br>Beds: 1.0<br> Baths: 1.0,25,4,0,2,3.019004993104951
8,8,https://chicago.craigslist.org/chc/apa/d/chicago-great-upper-apartment-available/6849107923.html,Great Upper Apartment Available Now!!,Apr  4,41.7411,-87.6543,,1.0,1.0,,,800.0,price: $800.0<br>Beds: 1.0<br> Baths: 1.0,0,1,0,2,9.527903381956547
9,9,https://chicago.craigslist.org/chc/apa/d/chicago-this-is-the-brand-new-luxury-2/6858269569.html,***THIS IS THE BRAND NEW LUXURY 2 BED YOU'VE BEEN SEEKING***,Apr  4,41.8721,-87.6578,,2.0,2.0,,,4025.0,price: $4025.0<br>Beds: 2.0<br> Baths: 2.0,9,4,0,3,1.0085168139971645
10,10,https://chicago.craigslist.org/chc/apa/d/chicago-southport-corridore-loft-in-old/6858269696.html,Southport Corridore Loft in old Comed Substation - Duplex - 2 bed 2 ba,Apr  4,41.944587,-87.655533,,2.0,2.0,,,2500.0,price: $2500.0<br>Beds: 2.0<br> Baths: 2.0,30,2,0,4,4.616024354025006
11,11,https://chicago.craigslist.org/chc/apa/d/chicago-gorgeous-two-bed-apartment-with/6858269820.html,Gorgeous Two Bed Apartment With Picturesque Views of thew City AND Lak,Apr  4,41.897932,-87.631452,,2.0,1.0,,,2346.0,price: $2346.0<br>Beds: 2.0<br> Baths: 1.0,50,4,0,4,1.4036008248123384
12,12,https://chicago.craigslist.org/chc/apa/d/chicago-phenomenal-loop-studio-d-in/6858269836.html,"Phenomenal Loop Studio, W/D In Unit, Hdwd Floors, Pool, Pet friendly!",Apr  4,41.8858,-87.6181,,0.0,1.0,,,1650.0,price: $1650.0<br>Beds: 0.0<br> Baths: 1.0,15,0,0,13,1.2420370140912709
13,13,https://chicago.craigslist.org/chc/apa/d/chicago-beautiful-1br-with-new-kitchen/6858269862.html,Beautiful 1BR with New Kitchen in Albany Park!,Apr  4,41.9703,-87.7042,,1.0,1.0,,,1350.0,price: $1350.0<br>Beds: 1.0<br> Baths: 1.0,3,0,0,4,7.125694512501364
14,14,https://chicago.craigslist.org/chc/apa/d/chicago-brand-new-glorious-studio-with/6852985878.html,"^^^BRAND NEW GLORIOUS STUDIO WITH W/D, HDWD, GYM^^^",Apr  4,41.992631,-87.658656,,0.0,1.0,,,1075.0,price: $1075.0<br>Beds: 0.0<br> Baths: 1.0,13,2,0,3,7.922689187687864
15,15,https://chicago.craigslist.org/chc/apa/d/chicago-11th-floor-all-east-views/6858270466.html,11th Floor. All East views looking at Lake & Beach!,Apr  4,41.987631,-87.655556,,1.0,1.0,,,1495.0,price: $1495.0<br>Beds: 1.0<br> Baths: 1.0,5,1,0,3,7.561876954182116
16,16,https://chicago.craigslist.org/chc/apa/d/chicago-lakeview-3-bedroom/6853852174.html,Lakeview 3 Bedroom,Apr  4,41.944537,-87.659419,,3.0,1.0,,,2100.0,price: $2100.0<br>Beds: 3.0<br> Baths: 1.0,27,1,0,4,4.650668095321389
17,17,https://chicago.craigslist.org/chc/apa/d/chicago-stay-gold-in-this-2-bedroom-2/6858210639.html,Stay Gold in this 2 Bedroom/2 Bathroom in the Heart of the Gold Coast,Apr  4,41.903132,-87.630153,,2.0,2.0,,,2881.0,price: $2881.0<br>Beds: 2.0<br> Baths: 2.0,42,4,0,4,1.7656951892780566
18,18,https://chicago.craigslist.org/chc/apa/d/chicago-gorgeous-lakeview-unit-2/6837883012.html,Gorgeous Lakeview Unit: 2 bedroom 1 bath,Apr  4,41.939132,-87.650154,,2.0,1.0,,,1950.0,price: $1950.0<br>Beds: 2.0<br> Baths: 1.0,50,5,0,4,4.203150801421777
19,19,https://chicago.craigslist.org/chc/apa/d/chicago-incredible-space-and-value/6839280002.html,***INCREDIBLE SPACE AND VALUE! GREAT 1-BED IN DOWNTOWN CHICAGO!***,Apr  4,41.888232,-87.622352,,1.0,1.0,795.0,"['available jul 20', 'cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'laundry in bldg', 'no smoking', 'valet parking']",1877.0,price: $1877.0<br>Beds: 1.0<br> Baths: 1.0,50,1,0,13,1.1332922234301932
20,20,https://chicago.craigslist.org/chc/apa/d/chicago-beautiful-2-bedroom-condo-in/6845071154.html,Beautiful 2 Bedroom Condo in Lincoln Park w/Parking,Apr  4,41.920132,-87.643953,,2.0,1.0,,,2400.0,price: $2400.0<br>Beds: 2.0<br> Baths: 1.0,27,3,0,2,2.866835206334867
21,21,https://chicago.craigslist.org/chc/apa/d/chicago-beautiful-apartment-small-dog-ok/6858264173.html,BEAUTIFUL APARTMENT !! SMALL DOG OK!!,Apr  4,41.987631,-87.655556,,1.0,1.0,,,1245.0,price: $1245.0<br>Beds: 1.0<br> Baths: 1.0,5,1,0,3,7.561876954182116
22,22,https://chicago.craigslist.org/chc/apa/d/chicago-brand-new-luxury-1-bedroom-pick/6858264218.html,***BRAND NEW LUXURY 1 BEDROOM - PICK YOUR FLOOR PLAN***,Apr  4,41.975631,-87.655255,,1.0,1.0,,,1425.0,price: $1425.0<br>Beds: 1.0<br> Baths: 1.0,12,2,0,4,6.736569772977297
23,23,https://chicago.craigslist.org/chc/apa/d/chicago-available-4bed-2-bth-home-for/6858264259.html,Available 4bed 2 bth Home For Rent!,Apr  4,41.946084,-87.822926,,4.0,2.0,1248.0,"['cats are OK - purrr', 'dogs are OK - wooof', 'house', 'w/d in unit', 'detached garage']",800.0,price: $800.0<br>Beds: 4.0<br> Baths: 2.0,0,1,0,0,10.473629674271491
24,24,https://chicago.craigslist.org/chc/apa/d/chicago-stunning-coach-house-in-wicker/6847237548.html,Stunning Coach-house in Wicker Park: 3 bedroom 2 bath,Apr  4,41.897732,-87.677154,,3.0,2.0,,,2995.0,price: $2995.0<br>Beds: 3.0<br> Baths: 2.0,19,3,0,2,2.3054764675803954
25,25,https://chicago.craigslist.org/chc/apa/d/chicago-1-bedroom-park-views-indoor/6858210203.html,1 Bedroom w/ Park Views & Indoor Pool in the heart of Chicago,Apr  4,41.897995,-87.629929,,1.0,1.0,,,1897.0,price: $1897.0<br>Beds: 1.0<br> Baths: 1.0,50,4,0,4,1.4349213650174129
26,26,https://chicago.craigslist.org/chc/apa/d/chicago-sunny-studio-big-closet-cats-ok/6853459657.html,"Sunny studio, big closet, cats ok, e-z walk to L",Apr  4,41.928232,-87.709356,,0.0,1.0,,,1150.0,price: $1150.0<br>Beds: 0.0<br> Baths: 1.0,37,1,0,1,4.928401088701374
27,27,https://chicago.craigslist.org/chc/apa/d/chicago-stunning-3-bed-2-bath-unit-in/6847257001.html,Stunning 3 bed 2 bath unit in North Center,Apr  4,41.937732,-87.685655,,3.0,2.0,,,2495.0,price: $2495.0<br>Beds: 3.0<br> Baths: 2.0,2,2,0,0,4.695127530413919
28,28,https://chicago.craigslist.org/chc/apa/d/chicago-2-bedroom-condo-parking-lincoln/6845043777.html,2 Bedroom Condo w/Parking Lincoln Park,Apr  4,41.922132,-87.638453,,2.0,1.0,,,1850.0,price: $1850.0<br>Beds: 2.0<br> Baths: 1.0,17,1,0,0,3.0002740577973923
29,29,https://chicago.craigslist.org/chc/apa/d/chicago-gorgeous-river-north-2br-2ba/6858264455.html,GORGEOUS River North 2BR/2BA with Laundry In Unit- available now!,Apr  4,41.896432,-87.643053,,2.0,2.0,,,2950.0,price: $2950.0<br>Beds: 2.0<br> Baths: 2.0,15,2,0,4,1.2324606110736358
30,30,https://chicago.craigslist.org/chc/apa/d/chicago-huge-3-bedroom-on-logan-blvd/6836046908.html,"Huge 3 bedroom on Logan Blvd, closets galore, close to S'bucks",Apr  4,41.927979,-87.698584,,3.0,1.0,1500.0,"['available may 1', 'cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'laundry in bldg', 'off-street parking']",2395.0,price: $2395.0<br>Beds: 3.0<br> Baths: 1.0,38,1,0,2,4.532950812048452
31,31,https://chicago.craigslist.org/chc/apa/d/chicago-huge-2-bed-with-gym-storage/6858264554.html,"Huge 2 bed with gym, storage, bike room, lounge, dry cleaning, huge pa",Apr  4,41.945601,-87.659274,,2.0,1.0,,,2050.0,price: $2050.0<br>Beds: 2.0<br> Baths: 1.0,26,1,0,4,4.720954198006404
32,32,https://chicago.craigslist.org/chc/apa/d/chicago-basic-1-bed-small-kitchen-cats/6853472147.html,"Basic 1 bed, small kitchen, cats ok, e-z walk to L",Apr  4,41.927525,-87.709544,,1.0,1.0,,,1195.0,price: $1195.0<br>Beds: 1.0<br> Baths: 1.0,35,1,0,1,4.901676450530201
